mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011702775955200195,0.009710150832839503,0.003139781951904297,0.002329446154164364,rbf,1,0.01,10,"{'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.01, 'C': 10}",-3.7161815391408703,-1.665500387401308,-1.0605243250898828,-1.0479582887029917,-1.4783877876580744,-1.7937104655986253,0.9905018394692982,15
0.046451997756958005,0.04512374258773429,0.0034843921661376954,0.0018935517714600105,rbf,scale,0.05,100,"{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.05, 'C': 100}",-4.907606707444283,-1.417633034797699,-1.0092428824535724,-0.8581403680204781,-1.7909036887800562,-1.9967053362992182,1.4914716306902065,18
0.01972174644470215,0.015171120462319847,0.004429531097412109,0.0029882088359619407,rbf,0.1,0.01,10,"{'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 0.01, 'C': 10}",-4.016700744991754,-1.3405840293023719,-0.9219979042988868,-0.7561566807986102,-1.5386057145724592,-1.714809014792816,1.1846823401002722,14
0.01698899269104004,0.017936498316571722,0.0035204410552978514,0.003375590971583519,rbf,1,0.05,100,"{'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.05, 'C': 100}",-3.7225369437791858,-1.8488729059824622,-1.0939225702867414,-1.063398191572107,-1.5782823094636595,-1.861402584216831,0.9767263454641685,17
0.014606809616088868,0.00959984147893572,0.0021178722381591797,0.0008747007692450899,rbf,scale,0.01,10,"{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.01, 'C': 10}",-3.9039727617783915,-1.162723828905302,-0.9096316706157107,-0.7393817920215253,-1.52894568958606,-1.6489311485813978,1.1584343309368772,11
0.06209311485290527,0.0534663806142046,0.0031251907348632812,0.001669556057554651,rbf,auto,0.01,100,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.01, 'C': 100}",-5.04148659309674,-2.3117500963040256,-1.0396673872547495,-0.9625161267913018,-1.8006797725964176,-2.2312199952086464,1.4912314008854433,20
0.009267282485961915,0.005004925156605366,0.004887580871582031,0.0032827786642876896,rbf,scale,0.01,1,"{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.01, 'C': 1}",-3.8018616695413994,-1.1256203437614989,-0.7856121413773496,-0.7253436200275107,-1.4234837280822492,-1.5723843005580016,1.1427009317682866,8
0.008450078964233398,0.004423100435630755,0.003877735137939453,0.0018904088505015933,rbf,1,0.05,1,"{'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.05, 'C': 1}",-3.8166556483683323,-1.1032581883523385,-0.7549762376370285,-0.7771576718612284,-1.378913599581114,-1.5661922691600083,1.148443618985675,6
0.006431007385253906,0.004108650536702726,0.0024856090545654296,0.0006086848756126493,rbf,scale,0.05,0.1,"{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.05, 'C': 0.1}",-3.8462611917852674,-1.0587513509671065,-0.736170908561256,-0.7202301290793244,-1.3927322330556142,-1.5508291626897137,1.1738574221600602,3
0.019971179962158202,0.016888552971923515,0.0029627799987792967,0.002189824783824827,rbf,auto,0.01,10,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.01, 'C': 10}",-3.9968441827548857,-1.3113840393277656,-0.9193825796697942,-0.7483214801602652,-1.5340711268244638,-1.702000681747435,1.1806001443424887,13
0.006174516677856445,0.003580447121308958,0.0030132293701171874,0.002864715579761957,rbf,scale,0.1,0.1,"{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.1, 'C': 0.1}",-3.835939003722595,-1.0553260768927442,-0.7309530899853808,-0.721988159278819,-1.3907245485481874,-1.5469861756855452,1.1706394937701132,1
0.007061386108398437,0.00342195012556852,0.0034562110900878905,0.0010922721091896162,rbf,1,0.01,0.1,"{'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.01, 'C': 0.1}",-3.857008182580167,-1.054954814809778,-0.7255262328406177,-0.7219771613371461,-1.395154431037437,-1.5509241645210292,1.1795514557474946,4
0.0055026054382324215,0.0033673149912031067,0.00439910888671875,0.0032593648624802823,rbf,0.1,0.05,0.1,"{'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 0.05, 'C': 0.1}",-3.8463881716354202,-1.0619334665022233,-0.7447903685663599,-0.7231835329769107,-1.3954645329741204,-1.5543520145310068,1.1719541037991346,5
0.01651449203491211,0.01567303420955425,0.0027256011962890625,0.0015136022224859333,rbf,1,0.01,100,"{'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.01, 'C': 100}",-3.721387000652846,-1.8424128584223625,-1.0875147713540458,-1.0641571077392251,-1.5870530096633193,-1.86050494956636,0.9766953461596903,16
0.0160520076751709,0.011660968078847497,0.003175783157348633,0.0015585933912960507,rbf,auto,0.1,10,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.1, 'C': 10}",-3.9974617559817935,-1.3184670296623806,-0.9300471463606074,-0.7428406543732734,-1.5109029796724753,-1.699943913210106,1.180562324044752,12
0.0073206424713134766,0.005962209030431752,0.0021915435791015625,0.001018803056921508,rbf,auto,0.01,1,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.01, 'C': 1}",-3.829975580546492,-1.1313458623775927,-0.8067943531168277,-0.7256679429048428,-1.4246338973406,-1.583683527257271,1.150259246292243,10
0.008310937881469726,0.0057820391939237496,0.0028107166290283203,0.0020430865330310524,rbf,auto,0.05,1,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.05, 'C': 1}",-3.831080410063864,-1.1237548011579443,-0.8043937107225934,-0.7287229226344899,-1.419237063836734,-1.581437781683125,1.1513118481121738,9
0.03570261001586914,0.028936898819938172,0.0029865264892578124,0.0011443910458240668,rbf,auto,0.1,100,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.1, 'C': 100}",-5.005115395723076,-2.331913906834827,-1.0416083089350459,-0.9454343094780658,-1.7723211029950185,-2.2192786047932063,1.4820884561882055,19
0.010857963562011718,0.00769537662954158,0.0034195899963378905,0.0019921103113570613,rbf,1,0.01,1,"{'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.01, 'C': 1}",-3.8203490174336863,-1.1009493102812167,-0.7508968211550775,-0.7791117287754203,-1.3811727871385808,-1.5664959329567965,1.15031368320408,7
0.006783342361450196,0.004428346515020232,0.0028488636016845703,0.0008324464497544881,rbf,auto,0.1,0.1,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.1, 'C': 0.1}",-3.8413058002509866,-1.0610494003213347,-0.7386277678492006,-0.7205944867765517,-1.390509159086414,-1.5504173228568976,1.1713948797228244,2
